train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
1.565254650644656,0.8853,1.5778675914570024,1.0,1.46144168468038,37
1.56445598805637,0.8866,1.5758688882657677,0.9997,1.4615156035514394,38
1.5640296529351012,0.8846,1.579223402746164,1.0,1.461294211399783,39
1.5633138888426172,0.8873,1.5755407468528504,0.9997,1.4615508712780703,40
1.5630822415545043,0.8863,1.5756763781711554,0.9997,1.4617111143792512,41
1.5623738953807969,0.8862,1.576441141450481,0.9996,1.4621040638844678,42
1.5619793141574494,0.8884,1.5736088236426091,1.0,1.461428812354993,43
1.561398764408982,0.8898,1.5737020741602419,0.9999,1.461356670993149,44
1.5611521511443898,0.8868,1.5746123889449295,0.9999,1.4613377873305302,45
1.560706555462087,0.89,1.5723326251764966,1.0,1.461330621865145,46
1.5603974755130596,0.8879,1.575125456615618,1.0,1.4612910960130632,47
1.5600606759728144,0.8893,1.5724850171690534,1.0,1.461310123941701,48
1.5595389490188567,0.89,1.5716657008335089,0.9999,1.4614381623116268,49
1.5592422322677906,0.889,1.5723681373960654,1.0,1.4612321291759516,50
1.558928076900653,0.891,1.5711933063094023,0.9999,1.46143639087677,51
1.5586564769622868,0.8909,1.5704294716476634,1.0,1.4613235596638576,52
1.5581756136310634,0.8897,1.5716776377076556,1.0,1.4612466150028691,53
1.557955678846282,0.8913,1.5710309189595995,0.9998,1.4616130294313856,54
1.5576067763859276,0.8889,1.5735710191119248,1.0,1.4612650203097397,55
1.5573463683951891,0.8917,1.570132973087821,0.9998,1.4614359087245479,56
1.557274531708089,0.8917,1.569949666405939,0.9997,1.4615765582224367,57
1.557072035539379,0.8932,1.5699039181326604,0.9998,1.4615260757458437,58
1.556672509036847,0.8923,1.5688371362200209,0.9998,1.4615150280059523,59
1.5564232929937367,0.8929,1.5691759745786145,0.9998,1.4615859081790705,60
1.5562305572444697,0.8921,1.5696854993795892,1.0,1.4612008075045932,61
1.5558269964352345,0.8917,1.5699563345332055,0.9996,1.4615967835590338,62
1.5556340004081157,0.8925,1.569677410611681,1.0,1.4612944513369517,63
1.5552979817014259,0.8902,1.5713800639863227,1.0,1.4613431631379825,64
1.5552581591900987,0.8917,1.5692960965405605,1.0,1.461347961881358,65
1.5549924155033983,0.8928,1.5682236745858649,0.9997,1.461602362098208,66
1.5548221937883129,0.8898,1.5711295202279547,1.0,1.4612375163728264,67
1.554547470515725,0.8932,1.5682755564428439,0.9999,1.4613601485635066,68
1.5023268839952026,0.9669,1.4999575007493329,0.9995,1.4621650147589909,69
1.487783078191631,0.9701,1.4941885615610013,1.0,1.4612795243597334,70
1.484939412521655,0.9746,1.4900015896293008,0.9997,1.461662385114439,71
1.4834866716917643,0.975,1.4899109290663604,0.9996,1.4619293334377799,72
1.4825268971132064,0.9769,1.4875725644409277,0.9998,1.4615364758072384,73
1.4815183204374334,0.9755,1.4885557730486438,0.9996,1.4619675130601142,74
1.4808065906516525,0.9771,1.48735450407502,0.9997,1.4616586455873624,75
1.479866467050906,0.9778,1.4864600684232772,1.0,1.4612952615045438,76
1.4795624625199892,0.9733,1.4906540942040218,0.9989,1.4629134942012227,77
1.4792473961803705,0.9762,1.4879519635704672,0.9993,1.4624178880339216,78
1.4786144004447628,0.9772,1.4863454695719822,0.9995,1.4618573401384294,79
1.4782838475729612,0.98,1.4841320203368071,0.9994,1.4621644923641424,80
1.4777131883828625,0.9792,1.4843829126115058,0.9994,1.462146951894092,81
1.477457205115605,0.9787,1.4852255165197288,0.9995,1.461893789327828,82
1.4770506511110741,0.9804,1.4832374966068633,0.9993,1.4620817968040516,83
1.476661015166911,0.9772,1.4865041728232318,0.9998,1.4615842711394,84
1.4763959221748402,0.9795,1.4838279402180083,0.9992,1.4622536495233038,85
1.4760968629231077,0.9795,1.4843249928419757,0.999,1.4628105808974832,86
1.4758468660464419,0.9795,1.4835057213048266,0.9993,1.4621256544331835,87
1.4756611577991738,0.9798,1.4840946432891164,0.9991,1.4625069062421276,88
1.4751662394639526,0.9794,1.4831003527732411,0.9999,1.461388007850404,89
1.475031155258862,0.9818,1.4817864606334905,0.9994,1.461985979869867,90
1.474903619111474,0.9808,1.482926837198294,0.9995,1.4618011424495916,91
1.4746818623817297,0.9782,1.4850466221001497,0.9997,1.4616428499768495,92
1.4744202831406583,0.981,1.482227897947761,0.9992,1.4626151999090886,93
1.4742478490638327,0.9816,1.4813558425113653,0.9995,1.461976475017086,94
1.4739472281449892,0.9814,1.481899824871379,0.9995,1.462113173903933,95
1.4738052465768257,0.981,1.4813955209817096,0.999,1.4624044948322759,96
1.4737115465501733,0.9817,1.481069864740797,0.9995,1.4619780513131695,97
1.4736365865288512,0.9809,1.4825759450341487,0.9993,1.4621114913065723,98
1.4733505411697094,0.9814,1.4817926071252032,0.9995,1.4620452519435032,99
